formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
(NH4)2C2O4,H4CNO2,2.360e+00,3.210e+00,4.440e+00,5.200e+00,6.080e+00,8.180e+00,1.078e+01,1.390e+01,1.779e+01,2.240e+01,2.788e+01,3.459e+01
(NH4)2HPO4,PH9(NO2)2,5.723e+01,6.181e+01,6.667e+01,6.949e+01,7.241e+01,7.889e+01,8.587e+01,9.417e+01,1.037e+02,1.141e+02,1.268e+02,1.416e+02
(NH4)2S2O5,H8S2N2O5,1.899e+02,2.115e+02,2.311e+02,2.390e+02,2.484e+02,2.610e+02,2.690e+02,2.718e+02,,,,
(NH4)2S2O8,H4SNO4,5.873e+01,6.793e+01,7.806e+01,8.345e+01,8.907e+01,1.010e+02,1.140e+02,1.285e+02,1.447e+02,1.632e+02,,
(NH4)2SO3,H8SN2O3,4.749e+01,5.361e+01,6.051e+01,6.420e+01,6.835e+01,7.762e+01,8.868e+01,1.024e+02,1.198e+02,1.433e+02,,
(NH4)2SO4,H8S(NO2)2,7.036e+01,7.271e+01,7.513e+01,7.637e+01,7.794e+01,8.083e+01,8.382e+01,8.727e+01,9.048e+01,9.417e+01,9.802e+01,1.020e+02
(NH4)2SeO3,H8SeN2O3,9.608e+01,1.045e+02,1.146e+02,1.208e+02,1.273e+02,1.433e+02,1.632e+02,1.890e+02,2.236e+02,,,
(NH4)2SeO4,H8Se(NO2)2,,,,1.175e+02,,,,,,,,
(NH4)3PO4,PH12N3O4,,,,1.834e+01,,,,,,,,
Ag2C2O4,AgCO2,,,,3.529e-05,,,,,,,,
Ag2CO3,Ag2CO3,,,,3.540e-03,,,,,,,,
Ag2CrO4,Cr(AgO2)2,,,,1.401e-01,,,,,,,,
Ag2SO3,Ag2SO3,,,,4.596e-04,,,,,,,,
Ag2SO4,Ag2SO4,5.600e-01,6.700e-01,7.900e-01,8.400e-01,8.900e-01,9.800e-01,1.060e+00,1.140e+00,1.210e+00,1.280e+00,1.340e+00,1.410e+00
