formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
AgBrO3,AgBrO3,,,,0.1934,,,,,,,1.3377,
AgClO2,AgClO2,0.1703,0.311,0.4722,0.553,0.6441,0.8268,1.0305,1.2351,1.461,1.688,1.916,2.1555
AgClO3,AgClO3,,,,17.6471,,,,,,,,
AgClO4,AgClO4,443.4783,488.2353,532.9114,557.8947,580.2721,629.927,663.3588,700.0,726.4463,754.7009,777.193,792.8571
AgNO2,AgNO2,0.1552,,,0.4147,,,,,,,,
AgNO3,AgNO3,126.7574,165.252,210.559,234.4482,261.0108,318.41,380.7692,446.4481,517.284,584.9315,651.8797,719.6721
Ag2SO4,Ag2SO4,0.5632,0.6745,0.7861,0.8369,0.8878,0.9795,1.0611,1.1429,1.2146,1.2761,1.3377,1.4096
AlCl3,AlCl3,44.5922,44.7387,44.9906,45.1379,45.3066,45.7089,46.1988,46.7782,47.4274,48.1701,49.0313,49.97
Al(ClO4)3,Al(ClO4)3,121.7295,,,,,,,,,,180.8989,
AlF3,AlF3,0.2506,0.3412,0.4419,0.5025,0.5632,0.6847,0.8166,0.9693,1.1225,1.2966,1.4713,1.6673
Al(NO3)3,Al(NO3)3,58.7302,61.8123,66.3894,68.9189,72.4138,80.1802,89.7533,101.6129,116.4502,,,159.7403
Al2(SO4)3,Al2(SO4)3,37.931,,,38.5042,39.2758,41.2429,44.3001,48.368,53.6098,60.2564,68.6341,79.2115
As2O3,As2O3,1.2043,1.5022,1.833,2.0512,2.3227,2.9442,3.5518,4.2862,5.1414,6.1233,7.2041,8.3541
BaBr2,BaBr2,90.8397,94.1748,98.0198,100.0,101.6129,105.7613,110.5263,115.0538,119.7802,124.7191,130.4147,135.8491
Ba(BrO3)2,Ba(BrO3)2,0.2858,0.444,0.6603,0.7943,0.9438,1.3171,1.7708,2.3227,2.9866,3.7452,4.6025,5.5409
Ba(C2H3O2)2,BaH6(CO)4,58.7302,,,79.2115,,,,,,,,
BaCl2,BaCl2,30.3781,33.1203,35.7405,37.0426,38.3126,40.8451,43.4103,46.0494,48.8317,51.8372,55.135,58.8562
Ba(ClO2)2,Ba(ClO2)2,43.8849,,,45.5604,,,,,,,,80.8318
Ba(ClO3)2,Ba(ClO3)2,20.3369,26.9519,30.9929,37.931,41.7033,49.611,57.9529,66.8057,75.5618,84.8429,94.9318,104.7921
Ba(ClO4)2,Ba(ClO4)2,205.8104,244.3526,289.1051,312.3711,335.7298,381.4636,424.109,462.1135,493.8242,520.3474,542.2608,562.2517
BaF2,BaF2,,0.1583,,0.1613,,,,,,,,
BaI2,BaI2,166.6667,183.2861,205.8104,220.5128,223.6246,227.8689,234.4482,241.2969,248.4321,257.1429,266.3004,275.9398
Ba(IO3)2,Ba(IO3)2,0.0182,0.0262,0.0342,0.0396,0.045,0.058,0.0731,0.0901,0.1091,0.1312,0.1562,0.1823
Ba(NO2)2,Ba(NO2)2,45.1379,57.7287,71.8213,79.5332,87.9699,106.6116,128.3105,153.1646,182.4859,217.4603,258.4229,309.8361
Ba(NO3)2,Ba(NO3)2,4.9318,6.7236,8.9325,10.2536,11.3586,14.1553,17.2333,20.4819,23.9157,27.3885,30.719,34.2282
