formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
AgBrO3,AgBrO3,,,,0.19,,,,,,,1.34,
AgClO2,AgClO2,0.17,0.31,0.47,0.55,0.64,0.83,1.03,1.24,1.46,1.69,1.92,2.16
AgClO3,AgClO3,,,,17.65,,,,,,,,
AgClO4,AgClO4,443.48,488.24,532.91,557.89,580.27,629.93,663.36,700.0,726.45,754.7,777.19,792.86
AgNO2,AgNO2,0.16,,,0.41,,,,,,,,
AgNO3,AgNO3,126.76,165.25,210.56,234.45,261.01,318.41,380.77,446.45,517.28,584.93,651.88,719.67
Ag2SO4,Ag2SO4,0.56,0.67,0.79,0.84,0.89,0.98,1.06,1.14,1.21,1.28,1.34,1.41
AlCl3,AlCl3,44.59,44.74,44.99,45.14,45.31,45.71,46.2,46.78,47.43,48.17,49.03,49.97
Al(ClO4)3,Al(ClO4)3,121.73,,,,,,,,,,180.9,
AlF3,AlF3,0.25,0.34,0.44,0.5,0.56,0.68,0.82,0.97,1.12,1.3,1.47,1.67
Al(NO3)3,Al(NO3)3,58.73,61.81,66.39,68.92,72.41,80.18,89.75,101.61,116.45,,,159.74
Al2(SO4)3,Al2(SO4)3,37.93,,,38.5,39.28,41.24,44.3,48.37,53.61,60.26,68.63,79.21
As2O3,As2O3,1.2,1.5,1.83,2.05,2.32,2.94,3.55,4.29,5.14,6.12,7.2,8.35
BaBr2,BaBr2,90.84,94.17,98.02,100.0,101.61,105.76,110.53,115.05,119.78,124.72,130.41,135.85
Ba(BrO3)2,Ba(BrO3)2,0.29,0.44,0.66,0.79,0.94,1.32,1.77,2.32,2.99,3.75,4.6,5.54
Ba(C2H3O2)2,BaH6(CO)4,58.73,,,79.21,,,,,,,,
BaCl2,BaCl2,30.38,33.12,35.74,37.04,38.31,40.85,43.41,46.05,48.83,51.84,55.13,58.86
Ba(ClO2)2,Ba(ClO2)2,43.88,,,45.56,,,,,,,,80.83
Ba(ClO3)2,Ba(ClO3)2,20.34,26.95,30.99,37.93,41.7,49.61,57.95,66.81,75.56,84.84,94.93,104.79
Ba(ClO4)2,Ba(ClO4)2,205.81,244.35,289.11,312.37,335.73,381.46,424.11,462.11,493.82,520.35,542.26,562.25
BaF2,BaF2,,0.16,,0.16,,,,,,,,
BaI2,BaI2,166.67,183.29,205.81,220.51,223.62,227.87,234.45,241.3,248.43,257.14,266.3,275.94
Ba(IO3)2,Ba(IO3)2,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.09,0.11,0.13,0.16,0.18
Ba(NO2)2,Ba(NO2)2,45.14,57.73,71.82,79.53,87.97,106.61,128.31,153.16,182.49,217.46,258.42,309.84
Ba(NO3)2,Ba(NO3)2,4.93,6.72,8.93,10.25,11.36,14.16,17.23,20.48,23.92,27.39,30.72,34.23
Ba(OH)2,Ba(HO)2,1.7,,,4.91,9.17,23.46,49.25,108.33,284.62,inf,,
BaS,BaS,2.87,5.02,7.49,8.94,10.6,14.51,19.3,25.08,31.91,39.96,49.34,60.28
Ba(SCN)2,BaC2(SN)2,,,,167.38,,,,,,,,
BaSO3,BaSO3,,,,0.0,,,,,,,,
BeCl2,BeCl2,68.07,,,71.53,,,,,,,,
Be(ClO4)2,Be(ClO4)2,,,,146.91,,,,,,,,
BeSO4,BeSO4,36.41,38.08,40.08,41.28,42.65,46.01,50.13,55.04,60.72,67.25,74.58,82.75
CaBr2,CaBr2,122.22,127.27,143.9,156.41,170.27,212.5,244.83,270.37,,,,
CaCl2,CaCl2,57.98,64.45,72.8,81.26,96.54,112.09,127.53,131.11,134.96,139.29,144.14,149.63
Ca(ClO3)2,Ca(ClO3)2,171.74,179.33,189.86,196.74,204.88,222.58,244.83,273.13,308.16,342.48,348.43,354.55
Ca(ClO4)2,Ca(ClO4)2,,,,188.18,,,,,,,,
CaF2,CaF2,0.0,,,0.0,,,,,,,,
CaI2,CaI2,182.49,194.12,208.64,215.46,222.58,242.47,262.32,284.62,316.67,354.55,390.2,426.32
Ca(IO3)2,Ca(IO3)2,0.08,0.16,0.24,0.31,0.39,0.52,0.59,0.66,0.82,0.67,0.67,
Ca(NO2)2,Ca(NO2)2,62.87,65.29,80.18,94.55,,,,,,,,
Ca(NO3)2,Ca(NO3)2,100.4,113.22,130.95,143.9,155.75,189.02,350.45,356.62,358.72,360.83,362.96,365.12
CaSO3,CaSO3,,,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CaSO4,CaSO4,0.17,0.19,0.2,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.17,0.16
CdBr2,CdBr2,56.25,75.44,99.6,114.59,129.36,151.89,151.89,153.16,154.45,155.75,158.4,160.42
CdC2O4,Cd(CO2)2,,,,0.01,,,,,,,,
CdCl2,CdCl2,89.39,100.4,113.68,120.26,128.83,134.19,135.29,136.97,138.66,141.02,143.78,146.91
Cd(ClO4)2,Cd(ClO4)2,,,,142.13,,,,,,,,202.11
CdF2,CdF2,,6.18,4.88,4.36,3.91,,,,,,,
CdI2,CdI2,78.89,81.49,84.5,86.22,87.97,91.94,96.08,100.8,106.19,111.42,117.86,124.22
Cd(IO3)2,Cd(IO3)2,,,,0.09,,,,,,,,
Cd(NO3)2,Cd(NO3)2,124.22,133.1,147.52,156.41,168.82,198.51,240.14,619.42,640.74,657.58,675.19,693.65
CdSO4,CdSO4,75.75,75.75,76.06,76.68,77.3,78.89,76.99,73.91,70.65,67.22,62.6,57.98
CdSeO4,CdSeO4,72.53,68.32,63.99,61.76,59.46,54.68,49.59,44.2,38.58,32.78,26.97,21.2
Ce(NO3)3,Ce(NO3)3,138.04,148.76,162.4,170.64,180.19,203.03,218.47,246.02,298.41,380.77,423.56,491.72
CoCl2,CoCl2,43.47,48.37,53.54,56.23,58.98,64.66,70.59,76.87,83.49,90.51,98.06,106.19
Co(ClO4)2,Co(ClO4)2,100.0,,,112.77,,,,,,,,
CoF2,CoF2,,,,1.42,,,,,,,,
CoI2,CoI2,138.1,161.64,188.6,202.94,217.56,246.86,276.08,304.69,332.71,360.41,388.28,418.13
Co(NO2)2,Co(NO2)2,0.08,,,0.49,,,,,,,,
Co(NO3)2,Co(NO3)2,83.49,88.68,97.63,103.25,110.08,127.27,150.63,167.38,184.9,209.6,,
CoSO4,CoSO4,24.84,29.87,35.32,38.31,41.24,47.71,52.44,56.01,55.04,49.7,44.09,38.5
Co(SCN)2,CoC2(SN)2,,,,102.84,,,,,,,,
CrO3,CrO3,164.55,165.25,167.38,168.82,170.27,173.97,178.55,183.29,189.86,195.86,203.95,211.53
CsBr,CsBr,,,,123.21,,,,,,,,
CsBrO3,CsBrO3,1.17,1.97,3.1,3.83,4.67,6.75,9.41,12.76,16.89,21.89,27.93,35.1
CsCl,CsCl,161.99,173.82,185.39,191.04,196.65,207.69,218.47,229.06,239.44,249.65,259.84,269.82
CsClO3,CsClO3,2.46,4.03,6.32,7.78,9.52,13.83,19.52,26.81,35.96,47.28,61.0,76.74
CsClO4,CsClO4,0.8,1.02,1.53,2.0,2.64,4.47,7.01,10.24,14.17,18.76,24.05,29.99
CsI,CsI,44.72,59.24,76.06,84.84,94.55,114.13,134.19,154.45,174.73,193.26,209.6,224.68
CsIO3,CsIO3,1.09,1.61,2.26,2.66,3.11,4.12,5.33,6.71,8.34,10.13,12.1,14.22
CsNO3,CsNO3,9.24,14.94,22.85,27.88,33.51,47.06,63.93,84.16,107.9,134.19,163.85,195.86
CsOH,CsHO,,,,,300.0,,,,,,,
Cs2SO4,Cs2SO4,167.38,173.22,178.55,181.69,184.09,189.86,194.99,200.3,205.81,210.56,215.46,220.51
CuBr2,CuBr2,,,,126.24,,,,,,,,
CuCl2,CuCl2,68.92,71.53,74.22,75.75,77.62,81.16,85.19,89.39,94.17,99.6,105.34,111.42
Cu(ClO4)2,Cu(ClO4)2,118.82,,,,145.7,,,,,,,
CuF2,CuF2,,,,0.08,,,,,,,,
Cu(NO3)2,Cu(NO3)2,82.48,99.2,128.83,145.1,157.07,163.16,171.0,181.69,193.26,207.69,224.68,244.83
CuSO4,CuSO4,14.16,16.82,20.05,21.95,23.92,28.53,34.05,40.45,47.93,56.99,67.5,76.99
CuSeO4,CuSeO4,11.86,,,19.05,,,,,,,,
Dy(NO3)3,Dy(NO3)3,142.66,149.94,159.67,165.6,172.41,189.27,212.89,251.86,,,,
Er(NO3)3,Er(NO3)3,160.28,171.37,184.41,191.97,200.21,219.49,244.35,279.36,349.44,,,
Eu(NO3)3,Eu(NO3)3,123.21,130.95,140.96,146.31,152.53,166.67,182.49,,,,,
FeBr2,FeBr2,,,,120.26,,,,,,,,184.09
FeCl2,FeCl2,49.7,,,65.02,,,,,,,,94.93
FeCl3,FeCl3,74.52,81.49,91.94,91.2,106.61,296.83,329.18,549.35,536.94,536.94,541.03,553.59
Fe(ClO4)2,Fe(ClO4)2,173.15,,,210.17,,,,,,,,
FeF3,FeF3,,,,5.92,,,,,,,,
Fe(NO3)3,Fe(NO3)3,67.08,,,87.16,,,,,,,,
Fe(NO3)2,Fe(NO3)2,70.77,,,87.51,,,,,,,,
FeSO4,FeSO4,15.61,20.48,26.26,29.53,32.98,40.45,48.81,55.04,50.6,43.68,37.17,31.58
Gd(NO3)3,Gd(NO3)3,128.83,136.41,145.1,150.63,156.41,169.54,187.36,211.53,250.88,,,
HIO3,HIO3,276.65,286.1,299.68,307.83,317.19,338.6,364.25,394.56,429.94,470.78,518.05,572.95
H3BO3,B(HO)3,2.68,3.7,5.01,5.8,6.69,8.81,11.48,14.81,18.91,23.92,30.04,37.55
HgBr2,HgBr2,0.26,0.37,0.52,0.61,0.73,0.97,1.28,1.66,2.12,2.68,3.34,4.11
Hg(CN)2,Hg(CN)2,7.03,8.5,10.29,11.36,12.49,15.07,18.34,22.25,26.9,32.63,39.47,47.71
HgCl2,HgCl2,4.43,5.32,6.58,7.31,8.25,10.53,13.66,17.9,23.7,31.68,42.65,57.78
HgI2,HgI2,,,0.0,0.01,0.01,0.01,0.02,,,,,
Hg(SCN)2,HgC2(SN)2,,,,0.07,,,,,,,,
Hg2Cl2,HgCl,,,,0.0,,,,,,,,
Hg2(ClO4)2,HgClO4,281.68,,,395.05,,,,,,,,580.27
Hg2SO4,Hg2SO4,0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.09
Ho(NO3)3,Ho(NO3)3,,,,176.24,,,,,,,,
KBF4,KBF4,0.28,0.34,0.45,0.55,0.76,1.4,2.13,2.9,3.71,4.54,5.4,6.27
KBr,KBr,53.85,59.49,65.02,67.79,70.65,76.06,81.16,85.87,90.84,95.31,99.2,103.25
KBrO3,KBrO3,3.06,4.69,6.86,8.17,9.64,13.08,17.25,22.16,27.86,34.35,41.68,49.88
KC2H3O2,KH3(CO)2,216.46,236.59,258.29,269.28,280.23,301.28,321.41,340.72,359.14,377.1,395.05,414.14
KCl,KCl,27.78,30.91,34.03,35.54,37.06,40.04,42.94,45.77,48.5,51.19,53.82,56.37
KClO3,KClO3,3.12,4.9,7.23,8.61,10.14,13.71,18.01,23.12,29.28,36.76,46.05,57.85
KClO4,KClO4,0.7,1.11,1.7,2.08,2.53,3.67,5.2,7.23,9.88,13.26,17.56,22.96
KF,KF,44.72,66.11,89.75,101.65,113.68,,,,,150.0,,
KHCO3,KHCO3,22.88,27.76,33.19,36.24,39.14,45.6,52.58,60.03,67.93,,,
KHSO4,KHSO4,37.17,42.25,47.71,50.6,53.85,60.77,68.07,76.68,85.87,96.16,107.56,120.26
KH2PO4,KP(HO2)2,13.3,17.52,22.32,24.95,27.83,33.83,40.75,48.72,58.1,69.38,83.18,100.48
KI,KI,127.27,135.85,143.9,148.14,152.53,160.42,168.82,176.24,184.09,191.55,199.4,206.75
KIO3,KIO3,4.74,6.34,8.19,9.22,10.3,12.47,15.23,18.05,21.08,24.35,27.84,31.63
KIO4,KIO4,0.16,0.22,0.37,0.51,0.7,1.26,2.0,2.91,3.97,5.14,6.41,7.72
KMnO4,KMnO4,2.82,4.3,6.34,7.6,9.03,12.5,16.85,22.19,,,,
KNO2,KNO2,280.23,293.7,304.86,311.52,316.67,329.18,342.48,354.55,365.12,378.47,390.2,402.51
KNO3,KNO3,13.64,21.36,31.93,38.31,45.56,62.87,84.16,109.21,138.1,170.27,205.81,242.47
KOH,KHO,94.93,103.25,113.68,120.75,127.79,137.53,141.55,146.91,153.81,161.78,171.0,182.49
KSCN,KCSN,176.24,197.62,223.62,237.84,252.11,286.1,325.53,373.93,429.1,498.8,580.27,687.4
K2CO3,K2CO3,105.34,107.04,109.64,111.42,113.22,117.39,121.73,127.27,133.64,140.38,147.52,156.41
K2CrO4,K2CrO4,58.98,61.55,63.67,65.02,66.11,68.07,70.36,72.12,74.22,76.06,77.94,79.53
K2Cr2O7,K2Cr2O7,4.49,7.67,12.23,15.07,18.34,26.26,35.69,46.41,58.48,70.94,83.49,95.69
K2HAsO4,K2AsHO4,94.17,,,174.73,,,,,,,,395.05
K2HPO4,K2PHO4,132.56,144.5,159.74,168.1,178.55,209.6,,266.3,,,,
K2MoO4,K2MoO4,,,,183.29,,,,,,,198.51,
K2SO3,K2SO3,105.34,105.72,106.14,106.4,106.7,107.3,108.03,108.81,109.73,110.7,111.82,113.04
K2SO4,K2SO4,7.65,9.24,11.05,11.98,12.87,14.81,16.55,18.34,20.05,21.51,22.85,23.92
K2S2O3,K2S2O3,96.08,,,165.25,,,,,,,311.52,
K2S2O5,K2S2O5,28.37,36.43,45.14,49.48,54.32,63.93,74.22,85.19,96.46,108.33,120.26,
K2SeO3,K2SeO3,216.46,,,217.46,,,,,,,,217.46
K2SeO4,K2SeO4,111.42,112.45,113.54,114.13,114.73,115.98,117.34,118.82,120.31,121.93,123.51,125.23
K3AsO4,K3AsO4,106.19,,,125.23,,,,,,,,270.37
K3Fe(CN)6,K3Fe(CN)6,31.41,38.12,45.14,48.81,52.21,59.24,65.56,71.53,76.99,81.82,85.53,88.68
K3PO4,K3PO4,79.53,,,105.76,,,,,,,,
K4Fe(CN)6,K4Fe(CN)6,14.29,20.92,28.21,31.41,34.41,41.24,48.15,55.04,61.81,68.35,70.65,75.75
LaCl3,LaCl3,96.08,94.17,94.55,95.69,97.24,102.02,108.77,117.39,128.83,143.31,161.1,
La(NO3)3,La(NO3)3,122.22,132.02,143.31,150.0,157.07,174.73,196.74,232.23,286.1,,,
LiBr,LiBr,140.38,150.63,168.1,180.9,193.26,210.56,215.46,222.58,231.13,241.3,253.36,267.65
LiBrO3,LiBrO3,156.61,167.52,181.21,189.35,198.6,221.54,253.11,273.69,291.08,310.85,333.46,361.25
LiC2H3O2,LiH3(CO)2,31.16,36.04,41.68,44.97,48.63,57.43,68.49,82.32,99.72,121.78,150.25,187.85
LiCl,LiCl,67.93,73.79,82.78,84.54,86.05,89.75,94.06,99.12,105.21,112.68,122.12,129.04
LiClO3,LiClO3,273.13,309.84,420.83,458.66,502.41,609.22,675.19,747.46,861.54,1049.43,1415.15,2225.58
LiClO4,LiClO4,43.06,48.37,55.04,58.73,62.87,72.12,83.49,96.85,113.68,133.64,158.4,249.65
LiF,LiF,0.12,0.13,0.13,0.13,,,,,,,,
LiH2PO4,LiP(HO2)2,126.24,,,,,,,,,,,
LiI,LiI,146.31,153.16,161.1,165.25,170.27,180.11,192.4,205.81,220.51,434.76,446.45,474.71
LiIO3,LiIO3,,,,77.94,,,,,,,,
LiNO2,LiNO2,69.49,81.82,96.08,104.08,112.77,127.27,150.0,170.27,194.12,212.5,,
LiNO3,LiNO3,53.37,60.26,74.52,102.02,137.53,150.63,164.55,177.78,191.55,204.88,217.46,230.03
LiOH,LiHO,12.11,12.11,12.36,12.49,12.74,13.25,13.9,14.55,15.47,16.55,17.79,19.19
LiSCN,LiCSN,,,,119.78,,,,,,,,
Li2CO3,Li2CO3,1.56,1.45,1.35,1.3,1.26,1.16,1.08,1.0,0.93,0.86,0.79,0.73
Li2C2O4,LiCO2,,,,6.24,,,,,,,,
Li2HPO3,Li2PHO3,9.97,9.17,8.42,8.07,7.74,7.11,6.56,6.06,5.6,5.16,4.74,4.34
Li2SO4,Li2SO4,35.69,34.95,34.41,34.23,33.87,33.33,32.98,32.45,32.1,31.58,31.23,30.89
Li3PO4,Li3PO4,,,,0.03,,,,,,,,
Lu(NO3)3,Lu(NO3)3,,,,246.02,,,,,,,,
MgBr2,MgBr2,97.24,99.2,101.21,102.43,103.67,106.19,108.77,111.86,115.05,118.34,122.22,125.73
Mg(BrO3)2,Mg(BrO3)2,75.44,82.48,92.31,97.63,104.08,118.82,137.53,160.42,188.18,222.58,243.64,253.36
Mg(C2H3O2)2,MgH6(CO)4,56.69,60.13,63.72,65.59,,,,,,,,
MgC2O4,Mg(CO2)2,,,,0.04,,,,,,,,
MgCl2,MgCl2,51.42,53.49,55.23,56.01,56.74,58.15,59.59,61.21,63.16,65.62,68.78,72.86
Mg(ClO3)2,Mg(ClO3)2,114.36,119.3,131.54,141.9,155.82,189.52,206.09,225.41,244.95,262.84,277.07,
Mg(ClO4)2,Mg(ClO4)2,91.57,94.93,98.41,100.4,102.02,105.34,108.77,,,,,
MgCrO4,MgCrO4,47.19,,,54.77,,,,,,,,
MgCr2O7,MgCr2O7,,,,143.31,,,,,,203.03,,
MgF2,MgF2,,,,0.01,,,,,,,,
MgI2,MgI2,120.75,127.79,139.23,146.31,155.1,177.01,185.71,185.71,185.71,185.71,186.53,187.36
Mg(IO3)2,Mg(IO3)2,3.3,7.18,8.6,9.31,10.02,11.67,13.62,15.87,18.48,21.36,24.38,
Mg(NO2)2,Mg(NO2)2,,,,88.68,,,,,,,,
Mg(NO3)2,Mg(NO3)2,62.34,65.29,68.92,71.23,73.61,78.89,84.84,91.94,100.0,109.21,240.14,257.14
MgSO3,MgSO3,0.32,0.37,0.46,0.52,0.61,0.88,0.86,0.77,0.69,0.64,0.62,0.6
MgSO4,MgSO4,22.25,27.71,33.51,35.69,39.28,44.72,50.15,55.28,58.48,56.01,53.14,49.93
MgS2O3,MgS2O3,44.3,,,51.75,,,,,,,,
MgSeO4,MgSeO4,45.77,,,55.52,,,,,,,,88.68
MnBr2,MnBr2,127.27,136.52,146.24,151.19,156.15,166.03,175.86,185.8,195.77,206.0,216.66,227.87
MnCl2,MnCl2,63.13,68.35,73.91,77.3,80.83,88.68,97.63,117.86,120.75,123.21,125.73,127.79
MnF2,MnF2,0.81,,,1.02,,,,,,,,0.48
Mn(IO3)2,Mn(IO3)2,,,,0.27,,,,,,,0.34,
Mn(NO3)2,Mn(NO3)2,102.02,,,161.1,,,,,,,,
MnSO4,MnSO4,52.91,59.49,62.87,63.67,63.67,60.51,56.99,52.91,48.81,44.51,40.45,36.43
NH4Br,H4BrN,60.0,67.22,74.52,78.25,82.15,89.75,97.63,105.34,112.77,120.26,127.79,134.74
NH4Cl,H4NCl,29.74,33.55,37.49,39.55,41.62,45.9,50.38,55.01,59.9,65.02,70.44,76.18
NH4ClO4,H4NClO4,12.11,16.41,21.65,24.53,27.71,34.77,42.45,50.6,59.49,68.63,77.94,87.27
NH4F,H4NF,71.53,76.06,80.83,83.49,86.22,91.57,97.24,103.67,110.53,117.86,,
NH4HCO3,H5CNO3,11.86,15.87,21.36,24.84,28.87,38.7,51.98,70.65,97.24,138.66,208.64,354.55
NH4H2AsO4,AsH6NO4,33.69,40.85,48.59,52.67,56.99,65.84,75.75,85.87,97.24,109.21,122.22,
NH4H2PO4,PH6NO4,21.65,28.21,35.87,40.45,45.35,56.74,71.23,89.39,112.77,145.1,191.55,262.32
NH4I,H4IN,154.45,163.85,173.22,177.78,182.49,192.4,201.2,210.56,219.49,228.95,237.84,246.02
NH4IO3,H4INO3,,,,3.84,4.38,5.98,8.26,,,,,
NH4NO2,H2NO,125.73,143.9,184.9,220.51,,,,,,,,
NH4NO3,H4N2O3,117.39,150.63,189.86,212.5,236.7,289.11,348.43,420.83,502.41,604.23,747.46,930.93
NH4SCN,H4CSN2,,,,180.9,,,,,429.1,,,
