compound,formula,reduced_formula,ksp_25C
aluminum phosphate,AlPO4,AlPO4,9.84e-21
barium bromate,Ba(BrO3)2,Ba(BrO3)2,2.43e-04
barium carbonate,BaCO3,BaCO3,2.58e-09
barium chromate,BaCrO4,BaCrO4,1.17e-10
barium fluoride,BaF2,BaF2,1.84e-07
barium hydroxide octahydrate,Ba(OH)2(H2O)8,Ba(H9O5)2,2.55e-04
barium iodate,Ba(IO3)2,Ba(IO3)2,4.01e-09
barium iodate monohydrate,Ba(IO3)2(H2O),BaH2I2O7,1.67e-09
barium molybdate,BaMoO4,BaMoO4,3.54e-08
barium nitrate,Ba(NO3)2,Ba(NO3)2,4.64e-03
barium selenate,BaSeO4,BaSeO4,3.40e-08
barium sulfate,BaSO4,BaSO4,1.08e-10
barium sulfite,BaSO3,BaSO3,5.00e-10
beryllium hydroxide,Be(OH)2,Be(HO)2,6.92e-22
bismuth arsenate,BiAsO4,BiAsO4,4.43e-10
bismuth iodide,BiI3,BiI3,7.71e-19
cadmium arsenate,Cd3(AsO4)2,Cd3(AsO4)2,2.20e-33
cadmium carbonate,CdCO3,CdCO3,1.00e-12
cadmium fluoride,CdF2,CdF2,6.44e-03
cadmium hydroxide,Cd(OH)2,Cd(HO)2,7.20e-15
cadmium iodate,Cd(IO3)2,Cd(IO3)2,2.50e-08
cadmium oxalate trihydrate,CdC2O4(H2O)3,CdH6C2O7,1.42e-08
cadmium phosphate,Cd3(PO4)2,Cd3(PO4)2,2.53e-33
calcium carbonate,CaCO3,CaCO3,3.36e-09
calcium fluoride,CaF2,CaF2,3.45e-11
calcium hydroxide,Ca(OH)2,Ca(HO)2,5.02e-06
calcium iodate,Ca(IO3)2,Ca(IO3)2,6.47e-06
calcium iodate hexahydrate,Ca(IO3)2(H2O)6,CaH12(IO6)2,7.10e-07
calcium molybdate,CaMoO4,CaMoO4,1.46e-08
calcium oxalate monohydrate,CaC2O4(H2O),CaH2C2O5,2.32e-09
calcium phosphate,Ca3(PO4)2,Ca3(PO4)2,2.07e-33
